Checked,Tags,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,MS2,Group Area: brain_163_pos,Group Area: brain_68_pos,Group Area: brain_6_pos,Group Area: brain_53_pos,Group Area: brain_187_pos,Group Area: brain_60_pos,Group Area: brain_21_pos,Group Area: brain_5_pos,Group Area: CONTROL_2_pos,Group Area: GT17_cc_1_pos,Group Area: GT17_c3_1_pos,Group Area: GT17_cc6_pos,Group Area: GT17_c3_5_pos,Group Area: GT17_cc5_pos,Group Area: GT17_c3_6_pos,Group Area: GT17_cc4_pos,Group Area: GT17_c3_3_pos,Group Area: GT17_cc3_pos,Group Area: GT17_c3_2_pos,Group Area: GT17_cc2_pos,Group Area: GT17_c3_4_pos,Group Area: CONTROL_1_pos
FALSE,,Valylvaline,C10 H20 N2 O3,Full match,No results,No results,Full match,-0.03,216.14739,1.951,7256188.88,1,0,,,DDA for preferred ion,4158951.604,7256188.88,4786423.689,4502735.808,2739135.866,4865236.498,4402085.024,2684420.37,38999.81279,132578.1545,728186.3406,459552.0745,881097.2873,354504.1977,605676.4803,462211.5956,548472.6843,641281.0284,2603600.758,244808.495,986542.835,47429.63848
FALSE,,Valylproline,C10 H18 N2 O3,Full match,Full match,Partial match,Full match,-0.78,214.13157,2.173,25890755.24,4,2,97.7,9.9,DDA for preferred ion,1145952.377,412909.2325,1471871.165,948726.1366,740883.3876,1390163.853,1370055.218,693291.5011,107738.8789,4484647.335,16174804.28,14633821.51,15928513.93,12851024.08,9236474.072,12492845.99,15701229.64,25890755.24,10205571.31,13686414.65,14424581.37,80523.69636
FALSE,,Uracil,C4 H4 N2 O2,Full match,Full match,Full match,Full match,1.89,112.02749,1.497,104537588.8,3,3,95.4,51.9,DDA for preferred ion,86750246.58,64639333.54,94181322.74,51528133.52,64361068.29,104537588.8,56451416.98,62973464.99,2958548.529,13971726.03,37842610.29,17052689.03,25590736.34,14395554.09,17517436.94,19936984.78,19823799.89,16417392.29,22307081.58,14452510.91,15882209.07,70551.58131
FALSE,,UDP-N-acetylglucosamine,C17 H27 N3 O17 P2,Not the top hit,Full match,Full match,Full match,-1.1,607.0809,0.868,39420776.69,8,1,93.3,9.7,DDA for preferred ion,3518320.154,2855066.798,3966383.658,2574619.805,3956882.28,3838584.431,3770995.249,4862925.632,96728.1393,22331067.45,33867856.48,27130215.85,30481602.37,26141657.13,39420776.69,27754379.07,31487025.55,29867881.26,33254854.77,30169870.39,33056107.77,101781.4413
FALSE,,Trp-Phe,C20 H21 N3 O3,Full match,No results,No results,Full match,-1.68,351.1577,3.511,4030584.703,3,0,,,DDA for preferred ion,408845.721,4030584.703,311211.4071,1391170.366,110231.7905,1255185.788,362890.1197,154184.0355,26504.12818,141779.6251,1318547.319,801800.9293,1271218.376,607791.4099,701081.8399,615330.1038,1149767.54,746346.6376,606237.2797,571351.0852,995855.0967,25089.82028
FALSE,,Tris(2-butoxyethyl) phosphate,C18 H39 O7 P,Full match,Full match,No results,Full match,-1.8,398.24262,7.305,29697158.72,1,2,71,41.1,DDA for preferred ion,29272837.97,28174927.67,29697158.72,28926222.8,28980562.53,27852465.29,28240306.72,26988821.27,26198129.59,28503713.27,27600437.99,24544697.38,23985864.17,26532743.78,25322483.79,24614846.15,26739801.98,22659167.42,19447585.47,21205280.91,19535661.96,18079989.02
FALSE,,Triphenyl phosphate,C18 H15 O4 P,Full match,Full match,No results,Full match,-2.1,326.07011,6.924,99362673.78,1,3,99.4,95.1,DDA for preferred ion,78044734.76,91958642.53,71364408.94,83532067.56,70689545.16,90155545.27,90233546.9,77086072.33,92118527.53,75422352.27,86437537.09,88360981.07,87754895.39,86788113.2,92436526.98,90007883.11,99362673.78,81344447.05,88079419.94,89984409.36,87626990.87,97766786.39
FALSE,,trimethadione,C6 H9 N O3,Full match,No results,No results,Full match,-0.09,143.05823,2.781,16267915.62,5,0,,,No MS2,8980275.727,1043894.247,1204947.592,682099.132,8982954.261,679748.7153,1298199.536,7541988.902,8587172.147,2703207.467,16267915.62,4071969.903,13365953.91,3301278.43,16121552.56,3860410.124,15633937.95,5379455.397,15140174.47,4594795.075,15517779.33,6328293.761
FALSE,,Trigonelline,C7 H7 N O2,Full match,No results,Partial match,Full match,-0.28,137.04764,2.96,4178622.441,15,0,,,DDA for preferred ion,1584576.755,1039354.941,2665881.577,2336149.764,2004132.442,1925287.938,2628115.688,4178622.441,495985.0913,284733.3184,332594.7557,419624.6524,234512.4461,323968.6812,483368.3198,334283.9516,99409.55322,156943.3143,255799.4355,197844.0393,354175.9379,277142.283
FALSE,,Triethyleneglycol bis(2-ethylhexanoate),C22 H42 O6,Invalid mass,Invalid mass,No results,No results,42321.25,419.3239,8.567,6161143.844,0,1,99.4,10,DDA for preferred ion,555859.5106,2094933.256,916570.6309,2292812.707,352979.3536,2421963.641,6161143.844,1949356.008,486308.9365,581109.1054,691708.8424,322655.993,526041.1169,683468.2439,4201138.338,762346.9115,770723.696,331071.5833,406873.4768,673667.0434,442423.721,464994.119
FALSE,,trans-3-Indoleacrylic acid,C11 H9 N O2,Full match,Full match,No results,Full match,-1.16,187.06311,2.623,2906274849,1,3,93,78,DDA for preferred ion,966730311,1224099028,1247428643,862993388.6,1008070080,993688450.7,872692415.1,1340957592,483059.9253,1527010302,2829977929,2042203406,2906274849,2023905408,2798048890,2227612321,2483722048,2027650424,2731572123,2010949384,2569204017,439503.8565
FALSE,,trans-2-Dodecenoylcarnitine,C19 H35 N O4,Full match,No results,No results,Full match,-2.06,341.25591,5.297,10945767.23,1,0,,,DDA for preferred ion,10945767.23,6753944.9,6578844.833,8054674.264,9194644.35,8662083.062,10859623.68,6956347.406,47335.17517,6202442.436,4094550.478,4674183.435,4636680.12,8235104.37,4586627.685,4440171.181,3252876.249,5216614.461,3649762.986,6074371.599,5240216.334,38764.98428
FALSE,,tranexamic acid,C8 H15 N O2,Full match,No results,No results,Full match,-0.2,157.11025,3.417,6498107.588,6,0,,,DDA for preferred ion,295611.4969,193917.0857,315569.7553,190577.7377,291655.3325,325654.2411,274047.3384,222023.1812,163769.5844,3144673.822,5506477.297,4629682.299,6498107.588,5249024.699,5413989.237,4566181.791,5041803.319,5907359.202,5049533.977,5222320.025,5803044.265,43728.64595
FALSE,,Tomatidine,C27 H45 N O2,Full match,Full match,No results,Full match,-2.57,415.34396,4.646,45240333.78,1,1,98.2,9.9,DDA for preferred ion,45240333.78,64088.74467,73584.17941,63158.29631,36143613.82,64196.30005,63807.36328,56471.85662,37278.47045,52356.71821,44389.39818,56135.71482,75574.03298,65767.12868,49236.94099,47648.20371,51492.05964,73783.60898,47995.21908,60258.53699,61988.63192,37846.85255
FALSE,,Tomatidine,C27 H45 N O2,Full match,Full match,No results,Full match,-2.31,415.34407,4.151,13314393.14,1,1,97.9,9.9,DDA for preferred ion,13314393.14,103232.2006,112349.2869,101192.7329,10526826.48,122749.7901,101530.1356,83813.74573,48958.02307,70505.22373,68597.32133,81738.57438,82502.32763,90088.51016,97828.10945,92971.6979,75738.81319,107622.7688,71454.6081,106760.9415,73370.89269,52312.51509
FALSE,,Tolycaine,C15 H22 N2 O3,Full match,Full match,No results,Partial match,-0.7,278.16285,3.297,29688575.49,4,1,95.5,9.8,DDA for preferred ion,6867926.829,1290621.591,4424927.587,5059885.971,2311999.243,4939069.199,4751724.641,1599271.934,41796.47284,6535902.991,28575770.87,19208017.11,29688575.49,20263225.51,23550392.88,18267211.35,28243549.45,15767326.85,19740110.4,16610240.87,27931661.79,64896.39785
FALSE,,TKK,C16 H33 N5 O5,No match,Invalid mass,No results,No results,8.24,375.25126,6.057,5258639854,0,1,93.1,45.1,DDA for preferred ion,1866917050,1521056573,2199964735,2046420799,1806077047,2222402289,2472920558,2756612723,4302389626,918578307.9,1682829374,1464267086,1777656297,1894832056,1748103797,1369359645,1872868576,2298570503,1308689405,2418867245,1454290623,5258639854
FALSE,,Timonacic,C4 H7 N O2 S,Full match,No results,No results,Full match,-0.48,133.01968,0.686,94314757.03,1,0,,,DDA for preferred ion,22880069.56,24036138.61,27557914.73,22935017.94,25628662.02,21409439.31,29215366.93,42571917.52,43217.03844,94004944.74,89734324.84,84201631.11,67215908.67,91237973.19,78481401.11,94314757.03,79372857.57,76841892.22,93577654.7,94131201.1,67236984.62,20524.92874
FALSE,,Thymine,C5 H6 N2 O2,Full match,No results,Full match,Full match,0.52,126.04299,2.222,3999047.731,3,0,,,No MS2,3999047.731,1644094.895,2217634.963,1839080.508,2563265.246,1874464.571,2407690.764,1760025.571,679853.5667,962086.8428,1544510.241,1212309.976,1650911.672,1213032.637,896717.4968,1106519.985,1359809.147,1841406.138,1082770.664,989029.1337,1133869.803,749847.1032
FALSE,,THTC,C5 H8 O2 S,Full match,No results,No results,Full match,-0.37,132.02445,1.082,589053423.2,2,0,,,DDA for preferred ion,179845252.5,360281669.7,178990943.6,219333317.4,159258853.9,354791842.6,589053423.2,372427424.3,238915.366,174488100.2,348829548.1,229031385.3,119603688.9,380945373.9,360806068.9,260109932.2,326172747.9,236962459.9,307592172.7,285970593,299943243.5,150488.798
FALSE,,THTC,C5 H8 O2 S,Full match,No results,No results,Full match,-0.49,132.02444,0.739,380942747.9,2,0,,,DDA for preferred ion,104074810.9,229529789.3,242934095.9,142425914.5,93842132.35,195620263.7,380942747.9,211764670.1,124965.174,72005149.94,177710826.4,118122891.9,181489919.6,89918463.95,173151943,93023110.03,107266357.2,106517600.9,113357622.5,75929129.19,111103764.6,73252.12973
FALSE,,Threonyl-4-hydroxyproline,C9 H16 N2 O5,Full match,No results,Partial match,Full match,-0.5,232.10581,1.29,50074930.32,10,0,,,DDA for preferred ion,28156229.28,50074930.32,43197927.66,23161615.63,32764252.8,39884756.12,30046492.93,33962944.63,68134.92998,2382515.875,3490878.654,1039313.548,3435738.439,1664398.142,3816734.106,879869.1789,1398508.756,1038210.802,1889697.987,1568381.172,1128041.376,68041.1257
FALSE,,Thiamine,C12 H16 N4 O S,Full match,Full match,No results,No match,-0.92,264.10424,0.672,47507420.67,2,1,98.1,9.9,DDA for preferred ion,3680845.84,1308271.102,2652158.049,2014450.975,3501081.933,3612967.122,3247355.685,3890108.706,50764.86139,30604645.92,31829028.91,36283975.46,25665136.07,32412590.95,29028194.36,41289360.37,27398979.76,35134185.31,36023669.69,47507420.67,37576024.05,23800.5645
FALSE,,Tetraacetylethylenediamine,C10 H16 N2 O4,No results,No results,No results,Full match,-0.46,228.1109,0.684,2635916.442,6,0,,,DDA for preferred ion,474425.6394,483566.4556,499473.8675,498259.4746,515892.0374,549156.623,2208338.301,546070.2358,17443.18725,1475073.996,2635916.442,2018764.365,2043589.269,1609979.567,1774924.192,1633099.497,2028815.332,1258788.936,1915664.432,1615310.909,911657.1072,16076.87084
FALSE,,Terodiline,C20 H27 N,Full match,No results,No results,Full match,-1.66,281.21388,8.66,4211732.806,2,0,,,No MS2,1905281.166,2246278.184,2375386.648,2337036.228,2681809.402,2983601.207,3004554.765,2774450.26,3021361.499,2469037.329,2472079.371,3125165.317,2629447.527,2488333.167,2865725.484,2732981.91,4211732.806,3121941.592,2996315.943,2481119.257,3188301.802,2894544.333
FALSE,,Taurocholic acid,C26 H45 N O7 S,Not the top hit,Full match,No results,Full match,-1.73,515.29078,4.574,60188934.53,5,1,92.9,93.6,DDA for preferred ion,6889150.151,22627348.27,982245.8444,626050.884,740686.2938,60188934.53,1041028.317,1104019.43,208266.8321,273215.5889,272954.4611,334112.9959,322140.5333,307642.1137,285376.7492,395464.4618,329701.8848,407618.9532,270864.4014,334850.045,264962.4266,205727.8845
FALSE,,Taurine,C2 H7 N O3 S,Full match,Full match,Full match,Full match,0.54,125.01473,0.773,166145665.5,1,3,95.6,9.8,DDA for preferred ion,94631977.5,73892245.82,94538564.01,83833688.75,90549015.88,166145665.5,90245427.1,141849071.8,107997.684,2896524.751,4580908.286,2280207.123,3938344.842,2936122.363,4614473.307,2211667.546,3560660.183,2004631.072,3844473.59,2702844.664,2641463.159,81954.41792
FALSE,,Succinyladenosine,C14 H17 N5 O8,Full match,No results,No results,Full match,-0.61,383.10748,2.254,53774168.86,1,0,,,DDA for preferred ion,44243198.97,44865091.42,44235477.93,32883973.86,33443905.95,38469010.95,53774168.86,30654447.98,33948.98606,12235065.68,18491505.5,13354017.47,15981068.58,28169544.27,10287472.95,12978200.11,13371243.9,16208287.7,6922965.791,16677774.05,7191339.502,39515.39701
FALSE,,Subaphyllin,C14 H20 N2 O3,Full match,No results,No results,Full match,-0.37,264.14729,2.791,6162128.236,6,0,,,DDA for preferred ion,3921560.941,4395133.742,3991399.68,4851469.56,911697.5311,6162128.236,4608403.864,1663921.083,25546.42533,695006.6263,4580534.97,2888197.183,4957386.553,2918962.291,3560022.034,2456075.904,4325349.014,2264302.107,2354571.201,1712587.636,3398759.679,31938.39801
FALSE,,Styrene,C8 H8,Full match,No results,No results,Full match,1.4,104.06275,5.691,136652169.1,1,0,,,DDA for preferred ion,82704674.93,34247062.59,78850134.6,62617467.12,93065697.13,136652169.1,120715570.8,65162763.41,102764254.1,63053619.18,70408213.35,79238761.98,55952801.06,80765115.45,91564002.47,81156518.9,104988980.7,50766053.69,76448837.61,52918872.99,62106878.12,65253110.93
FALSE,,Stearoyl Ethanolamide,C20 H41 N O2,No match,Invalid mass,No results,No match,-55028.53,309.30214,6.701,11177485.11,1,2,85.2,9.3,DDA for preferred ion,6147103.434,2805053.639,4304264.188,11177485.11,1497336.396,5314115.687,3469664.006,3118684.576,60866.55905,81885.77823,143797.5891,89949.21408,152426.5409,110179.8689,94341.48816,100213.8735,225549.9688,95974.82766,150454.6776,117010.78,83757.37589,51178.38173
FALSE,,Stearamide,C18 H37 N O,Full match,Full match,No results,Partial match,-2.66,283.28676,6.269,7199419.316,1,1,81.3,31.2,DDA for preferred ion,6327856.218,3861476.608,4485253.516,7199419.316,4152928.471,5419862.772,3572335.203,2853975.937,59090.77765,182682.1913,618798.6278,181132.7478,641155.1858,395759.2234,504284.0406,396755.1768,377026.5692,649479.6043,254474.2364,826521.1177,351624.1124,484006.1793
FALSE,,Stachydrine,C7 H13 N O2,Full match,No results,No results,Full match,-0.26,143.09459,11.932,115459341.5,6,0,,,DDA for preferred ion,47072771.06,50258730.24,46287701.91,50362676.32,103370696.2,111214781.9,107723685.3,106928488.9,103107332.6,103379416.1,103360984.1,107875736.2,94375488.91,115459341.5,105376097.4,111976494.7,109448253.1,108404294.5,91196378.32,87726767.99,87941308.74,83632874.54
FALSE,,Stachydrine,C7 H13 N O2,Full match,No results,No results,Full match,-1.12,143.09447,12.017,63094280.62,6,0,,,DDA for preferred ion,44052210.06,40801330.16,40919672.39,63094280.62,1900935.973,1875758.768,5961547.922,804274.6577,11106680.21,5576955.564,3748004.829,3168271.687,3675257.875,3642770.837,2557667.142,2434904.591,3276067.955,2144911.402,2733234.858,2637147.547,1067561.919,2762746.622
FALSE,,Stachydrine,C7 H13 N O2,Full match,No results,No results,Full match,0.24,143.09466,2.952,5658295.831,6,0,,,No MS2,1426990.095,281671.8084,587635.687,85315.29192,417654.6745,441752.088,258882.7354,227901.9413,933151.3119,1934759.091,3533371.187,5658295.831,4106160.356,3162179.855,5391979.475,2550154.019,2933117.013,3920785.155,2653311.766,3076992.696,3191104.889,861707.9517
FALSE,,sphinganine,C18 H39 N O2,Full match,No results,Full match,Full match,-2.32,301.29738,6.279,34563109.95,2,0,,,DDA for preferred ion,24615322,12950714.15,17304801.91,34563109.95,15010846.9,21670879.79,13066723.29,13132326.77,421958.7834,1513439.323,4213645.701,1998294.438,4063630.309,2980302.729,3698831.663,2551568.904,3441449.977,4448873.268,2384704.748,5930952.883,2457245.02,529530.8551
FALSE,,sphinganine,C18 H39 N O2,Full match,No results,Full match,Full match,-2.52,301.29732,5.926,30888228.88,2,0,,,DDA for preferred ion,1277259.859,921633.2578,30888228.88,1623967.698,1043757.777,1107041.434,1804252.019,1626554.892,701217.7816,965875.1836,1412015.975,1095892.731,1439739.623,1271089.147,1526735.695,1421749.669,1512364.431,1507221.781,1202724.835,1780546.953,1697623.053,907696.8111
FALSE,,Spermine,C10 H26 N4,Full match,Full match,Full match,Full match,-0.66,202.21561,0.55,232667958.2,2,1,99.7,95.1,DDA for preferred ion,13631120.72,23785744.91,17184040.22,32503676.61,14294361.92,24458963.78,23439764.78,19346772.35,6855443.133,197202457.2,232667958.2,81147509.42,54783734.72,103087910.8,222458809.4,219937653.9,69319096.39,90166877.68,109307783.8,174479122.3,68533591.94,419079.2871
FALSE,,Spaglumic acid,C11 H16 N2 O8,Full match,No results,No results,Full match,-1.63,304.09017,0.73,1327704317,3,0,,,DDA for other ion,576713400.6,536187459.8,573908296.1,538775151.7,507705820.3,541937602.4,603397200,564876188.8,1936031.921,131843369.8,1027685028,681366723.7,1327704317,838841174.4,936833522.2,634682397.8,225826456.8,839430792.4,1046833219,765185727,194146564.6,234733.616
FALSE,,Solerole,C6 H10 O4,Full match,No results,Partial match,Full match,-2.15,146.05759,5.69,23979230.41,23,0,,,DDA for preferred ion,14615703.9,6470837.158,14390235.94,12040707.34,16042102.51,23979230.41,22765527.37,11951992.03,19920700.82,12347842.28,14078197.69,14298934.91,9351348.568,14835931.89,16541132.89,15049924.69,20324528.83,8813421.328,14118382.64,10242715.73,11060119.37,11980991.14
FALSE,,Solasodine,C27 H43 N O2,Full match,No results,No results,Full match,-2.92,413.32817,4.554,812686723,2,0,,,DDA for preferred ion,767616075.1,66295.35482,76321.10344,173748.2923,812686723,74105.1592,69694.04116,60672.52069,37601.62995,49327.83279,43866.40241,60322.58285,53826.08195,55072.7921,61275.07893,43387.12146,46205.34198,73593.74935,43734.19672,59960.08534,38680.83918,36825.33453
FALSE,,Solasodine,C27 H43 N O2,Full match,No results,No results,Full match,-2.44,413.32837,6.292,33408990.04,2,0,,,DDA for preferred ion,33408990.04,68877.29237,72295.54813,67161.94377,26744618.58,59728.82603,63177.68704,59671.72484,53178.23098,57054.439,58660.97911,60970.36557,64438.26764,63808.51442,63673.26984,61890.66983,65869.36858,58009.96127,62425.63858,63226.4702,58564.46986,45205.84465
FALSE,,Solasodine,C27 H43 N O2,Full match,No results,No results,Full match,-2.92,413.32817,4.317,19051384.85,2,0,,,DDA for preferred ion,19051384.85,68157.92632,76873.81622,71287.12393,17059262.26,77242.78337,80699.87139,73724.02155,37856.29711,51407.87984,44125.3749,64110.80959,69769.75731,60780.49131,56590.47754,54764.79137,55615.19144,72771.11123,49656.53487,58348.1784,55147.09947,34867.34028
FALSE,,Solasodine,C27 H43 N O2,Full match,No results,No results,Full match,-2.92,413.32817,4.076,4444909.311,2,0,,,DDA for preferred ion,4444909.311,89369.55594,93846.84874,89650.37785,4261157.779,94101.44609,88274.97235,68382.66883,40743.39266,60739.56403,56441.34129,67449.25123,63344.27714,65000.33863,78272.05519,62849.74886,62553.15688,73136.00323,56396.69554,88775.34625,65930.25479,43633.34907
FALSE,,Solanidine,C27 H43 N O,Full match,Full match,No results,Full match,-2.26,397.33357,4.849,19475956.51,1,1,97.2,9.9,DDA for preferred ion,19475956.51,93378.25927,68864.1695,62337.59341,16649016.49,58377.72788,62509.75363,79350.51316,42741.93397,57167.40242,59681.15882,60953.36971,75628.60209,58126.13582,53907.58457,52622.21077,62811.26641,70753.67595,49813.87532,74999.72377,49688.37177,36324.25885
FALSE,,S-methylglutathione,C11 H19 N3 O6 S,Full match,No results,No results,Full match,-1.17,321.09908,1.618,283578061.7,3,0,,,DDA for preferred ion,62895598.93,101818307.8,99841301.16,93192973.08,51804942,103302314.2,90951896.79,65063411.39,63279.40008,131600750.9,174965998.6,167839316.1,231128248.5,164181232.9,283578061.7,144853781.4,158637999.1,84667428.14,179546929,215902488.6,226732944.7,71501.9813
FALSE,,S-methylglutathione,C11 H19 N3 O6 S,Full match,No results,No results,Full match,-1.27,321.09905,1.545,171211840.3,3,0,,,DDA for preferred ion,2825125.234,3768487.637,2912432.844,4040960.731,2115062.105,3820769.527,3507863.229,3099566.2,32670.04391,47738806.17,171211840.3,5014192.948,6433660.651,5948376.338,13429040.99,142587398.9,6047653.874,83412347.52,9682361.701,7578942.157,11211888.41,37223.92681
FALSE,,S-Lactoylglutathione,C13 H21 N3 O8 S,Full match,No results,Full match,Full match,-1.84,379.10424,0.73,12901547.42,2,0,,,No MS2,5349551.667,7796195.476,12901547.42,5866735.826,5299389.615,6995624.843,6342032.069,11055125.42,40897.80061,841061.3771,757851.1671,716797.2725,1260807.252,842666.054,1592679.538,529956.6008,656496.288,605146.9409,631643.4374,680259.5871,598721.0092,33456.96919
FALSE,,S-Lactoylglutathione,C13 H21 N3 O8 S,Full match,No results,Full match,Full match,-1.48,379.10437,2.129,12097603.58,2,0,,,DDA for preferred ion,7452235.578,6885789.421,12097603.58,10228558.41,11040961.63,9965223.352,7245714.413,9524818.19,23033.39355,1519167.766,1353363.209,575188.5089,1117828.236,1616285.882,2620661.831,649761.1485,679350.6754,854129.5143,281159.2625,533416.703,639982.8925,31367.05306
FALSE,,Skatole,C9 H9 N,No match,Invalid mass,No results,No results,-129900.84,114.04694,2.623,99216879.35,0,3,83.3,9.2,DDA for other ion,30451892.67,40232137.2,41458398.66,26931649.99,33183661.29,31890957.34,28134462.41,44250026.55,131554.572,48622598.78,95538859.3,68567870.62,99216879.35,68464432.75,92676929.03,72585596.29,83370052.28,73058997.28,92037863.61,68180223.6,88564535.93,114578.7101
FALSE,,senkyunolide B,C12 H12 O3,Full match,No results,No results,Full match,-1.59,204.07832,7.494,19662187.51,4,0,,,DDA for preferred ion,6105459.463,7286854.627,4880129.825,9436433.908,4203474.609,7501240.259,13007642.26,5836731.607,3705606.216,7635480.784,8783333.84,4359273.682,5564446.412,6865285.114,19662187.51,9465188.142,4387763.576,4413222.472,3487171.162,11317441.31,4081632.317,3128193.704
FALSE,,Secnidazole,C7 H11 N3 O3,Full match,Full match,No results,Partial match,-1.27,185.07981,0.699,205593199.8,2,2,86.7,9.3,DDA for preferred ion,54640745.5,156571605,204667249.1,205593199.8,66511404.59,165912856.9,166073773.5,158155488.9,91579.7872,2900816.031,12687994.12,2328706.86,10272748.64,9992389.267,7600535.529,1469770.145,6114527.566,2002666.027,2351485.33,1075221.269,2964902.119,582468.7779
