Checked,Tags,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,MS2,Group Area: brain_163_neg,Group Area: brain_68_neg,Group Area: brain_6_neg,Group Area: brain_53_neg,Group Area: brain_187_neg,Group Area: brain_60_neg,Group Area: brain_21_neg,Group Area: brain_5_neg,Group Area: CONTROL_2_neg,Group Area: GT17_cc_1_neg,Group Area: GT17_c3_1_neg,Group Area: GT17_cc6_neg,Group Area: GT17_c3_5_neg,Group Area: GT17_cc5_neg,Group Area: GT17_c3_6_neg,Group Area: GT17_cc4_neg,Group Area: GT17_c3_3_neg,Group Area: GT17_cc3_neg,Group Area: GT17_c3_2_neg,Group Area: GT17_cc2_neg,Group Area: GT17_c3_4_neg,Group Area: CONTROL_1_neg
FALSE,,4-Dodecylbenzenesulfonic acid,C18 H30 O3 S,Full match,Full match,No results,Full match,0.01,326.19157,9.881,1509110165,2,15,99.3,10,DDA for preferred ion,99837776.01,155473473.1,314379412.5,240683597.4,671039697.8,747444163.5,792652951.1,711496659.9,1219755821,880592056.4,1043884133,848056334.4,1509110165,911928234,712195401.4,1115372767,858323283.4,1046088006,851441509.6,910160193.8,994874087.6,890478902.7
FALSE,,L-Glutamic acid,C5 H9 N O4,No results,Invalid mass,No results,No results,-7.8,147.05201,0.621,1491718190,0,1,64.2,26.5,DDA for preferred ion,1387412938,1356397594,1392829596,1166288115,1281193969,1248523983,1491718190,1417652287,492166.4788,370649903,1000967438,597852462.1,700131595.9,679349746.3,844525220.2,627931403.7,789864513.5,650421358.1,780184342.3,404375904.7,694634912.8,419908.4165
FALSE,,4-Undecylbenzenesulfonic acid,C17 H28 O3 S,Full match,No results,No results,Full match,0.36,312.17603,6.902,1441622533,1,0,,,DDA for preferred ion,239520794,1224522642,859750955.8,1237039451,1008934034,1013678562,1328361549,982535663.5,1002332957,940451305.1,1416942526,1180716403,1017984021,1357472621,1340591566,1441622533,943708394.1,1070864883,990760356.9,1072466578,1159617399,1056244643
FALSE,,4-Undecylbenzenesulfonic acid,C17 H28 O3 S,Full match,No results,No results,Full match,0.27,312.176,6.713,1416942526,1,0,,,DDA for preferred ion,1051023363,1224522642,859750955.8,1237039451,1008934034,1013678562,1328361549,982535663.5,1002332957,940451305.1,1416942526,1180716403,66122103.2,86697399.96,77184797.98,68823206.21,142880252.1,68795191.2,279148762.7,56334452.57,82649430.35,70547576.76
FALSE,,,C11 H13 N7 O2 S,Full match,No results,No match,No match,-4.33,307.08381,0.685,1300333103,2,0,,,DDA for preferred ion,225643489.3,142630242.9,46895194.69,63640509.67,273299472.2,69892251.85,102254496.7,67245500.97,466549.3543,515988185.6,931534337.9,659946590.2,1300333103,663934498.5,901933020.5,341228255.2,773738249.3,808891269,518454762.9,467681258.8,1059821272,468442.4034
FALSE,,Ostruthin,C19 H22 O3,No match,Invalid mass,No results,No results,10.67,298.16008,7.021,1283793687,0,15,98.6,9.9,DDA for preferred ion,928079020.6,1283793687,1067722649,868422621.3,1077808810,1097302328,1103849075,1099958969,862621226.2,1074730803,991449535.8,1154090372,1024279535,1128706956,585614639.9,1073926146,1097003557,1033212689,983301322.1,931846409.5,975394095.5,848906341.4
FALSE,,,C19 H32 O3 S,Full match,No results,No results,No results,-0.58,340.20702,10.597,1272156737,0,0,,,DDA for preferred ion,179389521.5,163866987.8,66864588.74,44513923.44,359655730.5,283148958,187417905.3,116973811.8,296712991.8,151113778.3,174160128.6,337531332.2,203136196,483061351.7,572843767.7,280771420.1,647523431.5,351622318.1,206040802.5,208924084.9,413609740.3,1272156737
FALSE,,1-Stearoyl-2-hydroxy-sn-glycero-3-PE,C23 H48 N O7 P,Full match,No results,No results,Full match,-0.47,481.31661,6.933,1266307808,3,0,,,DDA for preferred ion,1113022478,815576735.9,1244569775,1058697855,1125914071,1266307808,1038451511,1090338276,190189.7042,31515070.58,145093304.1,43212585.33,244922846.5,92074927.32,126118779.8,54661301.02,136130862.7,85208127.7,47832974.91,146033337.6,78635416.16,108758.4909
FALSE,,D-(+)-Malic acid,C4 H6 O5,No results,Invalid mass,No results,No results,-9.41,134.02026,0.69,1211813478,0,3,81.8,34.6,DDA for preferred ion,767563153.3,475230083.6,693328813.8,685957206.6,1211813478,577279527.7,621692209.3,625589020.9,338899.7306,547780340,621571797.4,610719232.3,700560400.4,715922937.9,767935520.9,622424581.9,611870280,612129645.5,575484017.9,702442788.1,726780922.7,323476.1029
FALSE,,Ascorbic acid,C6 H8 O6,No results,Invalid mass,No results,No results,-5.92,176.03105,0.907,1181136613,0,2,62,26.3,DDA for preferred ion,1130238602,954359070.9,928393102.1,1082405306,1058444155,1175177308,1181136613,1020656776,42492.38642,216463.0469,270427.1389,250094.1089,240625.4268,258314.2423,308283.7724,226394.1883,235468.1918,243200.6302,246552.5835,248664.2357,269683.9249,36409.26734
FALSE,,Ostruthin,C19 H22 O3,No match,Invalid mass,No results,No results,10.79,298.16011,7.153,1154090372,0,15,98.6,9.9,DDA for preferred ion,169961782.1,28149000.99,954201995.5,868422621.3,1077808810,1097302328,1103849075,1099958969,862621226.2,1074730803,991449535.8,1154090372,1024279535,1128706956,514073874.7,1073926146,1097003557,1033212689,983301322.1,931846409.5,975394095.5,848906341.4
FALSE,,,C10 H17 N5 O11 P2,Full match,No results,No results,No results,-0.21,445.03989,0.725,1045308074,0,0,,,DDA for preferred ion,332594055.1,419656089.5,352363255.4,1045308074,596910723.5,991817766.4,547672363.8,963014748.2,1185910.094,359856757.2,686501734.6,522388908.1,519994040.5,800301893.3,999067689.2,559567203.9,261490259.3,481581019.8,530009022.1,388479609.5,661572227.6,455278.2654
FALSE,,Adenosine diphosphate,C10 H15 N5 O10 P2,Full match,No results,Full match,Full match,0.3,427.02954,0.769,998250333.8,5,0,,,DDA for preferred ion,311240456.6,618930544.6,347665218.6,993283165.4,566571202.4,973971024.8,526756440.6,910054208.8,1645735.089,364277435.1,685633623.4,521706988.6,519147669.6,799175186.5,998250333.8,558939032.4,260858575.9,481065418.4,529295489.3,387529124,660794453.8,213584.4938
FALSE,,Taurine,C2 H7 N O3 S,No results,Invalid mass,No results,No results,-10.04,125.01341,0.609,979568447.5,0,1,90.3,9.5,DDA for preferred ion,979568447.5,558778622.3,872485563.6,596887912.3,575159545.3,658567685.9,566758573.2,716222765.9,354214.2366,6148640.916,25135722.14,2169145.788,25543187.24,15710284.82,23106145.24,2486373.751,17692267.61,3079658.129,7912812.187,3551443.345,15792009.13,253432.8661
FALSE,,L-Glutathione oxidized,C20 H32 N6 O12 S2,Not the top hit,Full match,Full match,Full match,0.18,612.15207,1.534,974718795.1,2,1,65.2,26.6,DDA for preferred ion,843112143,726935073.5,966949454.1,905180202,743405751,974718795.1,596407831.1,778327112.9,82659.0954,354433904.1,408056783.3,185877917.9,268938907.1,270790043.6,477998157.4,231219582.7,215558564.1,123506302.7,154264020.3,268606247.2,254425944.8,21819.55004
FALSE,,Citric acid,C6 H8 O7,Full match,Full match,Full match,Full match,-4.15,192.02621,1.21,930779578.7,16,4,99,95.8,DDA for preferred ion,270215751.3,123204660.9,81231405.82,237163469.5,232362758.2,169078920.2,246204895.4,211726479.8,1546560.354,363102262.9,930779578.7,418036265.1,775069820.4,512253216.9,645518504.5,354660036.5,598130465.1,433373614.7,419836568.8,511250485.9,743669334.3,821917.2544
FALSE,,UDP-N-acetylglucosamine,C17 H27 N3 O17 P2,Full match,Full match,Full match,Full match,0.85,607.08208,0.793,928232723.4,8,3,99.5,97.1,DDA for preferred ion,98901088.24,166243316.1,116684989.7,134452200.5,133423979.9,102908028.7,105665570.6,97063984.85,860566.6807,464883776,427752482.1,391873295.5,892688020.1,817457733.4,928232723.4,599916924.1,696373606,714863968,807094025.5,792116109.7,747886918.8,115733.2453
FALSE,,,C32 H40 N6 O7,Full match,No results,No results,No match,0.07,620.29589,6.97,921614169.4,2,0,,,DDA for preferred ion,855170568.3,578722218.7,816860143.9,487644318.5,896641485.7,921614169.4,316315615.3,434400351.6,179827.4032,11807110.22,24659620.48,15510325.53,26669997.02,17090378.94,24261450.02,12800196.18,46843254.91,4510403.515,2518364.425,6792905.739,3108625.077,120937.1881
FALSE,,,C26 H41 N10 O6 P,Full match,No results,No results,No match,1.67,620.29585,6.812,855170568.3,2,0,,,DDA for preferred ion,855170568.3,578722218.7,124251181.3,58718900.94,161104494.6,150663982.5,49053136.96,84712515.54,695055.824,3321573.165,7057426.559,3010328.374,6328240.208,6578127.483,5814839.131,4302155.656,8703935.152,4524465.321,2553574.238,4287892.06,3244154.185,72956.46923
FALSE,,N-Acetyl-1-aspartylglutamic acid,C11 H16 N2 O8,Not the top hit,Full match,No results,Full match,0.16,304.09071,1.576,800012423.2,4,2,80.1,68.3,DDA for preferred ion,639259843.2,652499964.7,800012423.2,705454937.6,542672560.3,699222779.8,718585422.1,678431106.2,53450.93968,137281740.6,166752720.8,173292298.5,197362116.9,185528461.1,204802819.6,165082897.2,156387944.6,228972836.8,158574366.1,219422350.2,176185373.8,49845.34527
FALSE,,4-Dodecylbenzenesulfonic acid,C18 H30 O3 S,Full match,Full match,No results,Full match,0.02,326.19157,11.889,783733053.4,2,6,99.3,10,DDA for preferred ion,429112124.3,455232673.2,398166952.4,412978122.9,445423094.1,448553441.6,451391310,377776734.4,346841359.6,369905549.8,399838742.3,410934264.1,387762752.6,435859357.4,704656190.6,740810636,705861388.5,783733053.4,648773828.1,767742775.5,619217460.1,716766034.7
FALSE,,,C8 H20 N3 O11 P3,Full match,No results,No match,No match,-3.45,427.02959,0.923,783593364.1,5,0,,,DDA for preferred ion,70681319.59,618930544.6,353741354.5,599125341.4,236577123.8,93910353.12,376543891.4,600630635.9,1283646.344,96545101.73,562294299.7,388950825.7,387125009.4,628390581.4,783593364.1,432395513.9,172753427,386556175.3,423721435.2,172213394.4,523944634.8,28180.87104
FALSE,,L-Glutamic acid,C5 H9 N O4,No results,Invalid mass,No results,No results,-7.21,147.0521,0.708,754464070,0,2,65.2,26.6,DDA for preferred ion,591552600.8,625994406.1,672177516.4,458200099.9,609610670.6,452676857.8,754464070,424244843.9,284654.6173,88852667.99,148832157.1,99732127,283400675.6,119438244.2,112687735.2,101348255,149111788.8,156628479.2,114170007.7,244821398.6,163945015.9,296572.7691
FALSE,,N-Acetyl-1-aspartylglutamic acid,C11 H16 N2 O8,Not the top hit,Full match,No results,Full match,0.31,304.09076,0.753,747909733.4,3,1,79.2,67.3,DDA for preferred ion,417963964,460380814.8,500093275.6,476364195.4,362608102,98693837.2,452548445.1,611697887.5,251037.6229,394344708.4,103589347.7,34752952.44,712774154.2,464729535.9,747909733.4,23642371.82,549285112.4,33685719.6,569910331.5,462528917.4,61177655.84,269307.3718
FALSE,,,C11 H13 N7 O2 S,Full match,No results,No match,No match,-4.24,307.08384,01.02,679578683.1,2,0,,,DDA for preferred ion,74313823.44,65949848.17,8465352.158,13389115.06,20229865.96,12470612.15,37683295.05,33199239.14,156511.3246,289124031,520241555.6,447010453,679578683.1,458151911.8,607596427.1,350952348.4,601167018.1,493154894.5,544482700.2,509279556.6,489348417.4,36016.73394
FALSE,,4-Dodecylbenzenesulfonic acid,C18 H30 O3 S,Full match,Full match,No results,Full match,0.3,326.19166,10.139,641297595.1,2,15,99.3,10,DDA for preferred ion,266506967.2,271773564.4,32706448.46,325022414.5,410846879.9,92695206.19,88633163.61,347618495.8,104395455,381300215.2,420878035.2,279355765.5,422138221.5,11135896.61,97227951.28,231840738.1,198256865.6,277559930,191328195.5,613857743.6,342153388.5,641297595.1
FALSE,,4-Undecylbenzenesulfonic acid,C17 H28 O3 S,Full match,No results,No results,Full match,0.43,312.17605,11.888,633432714.1,1,0,,,DDA for preferred ion,345532814.5,339354877,311112562.7,288620425.1,363033187.7,346155421.8,324653007.1,352650551.4,343007979.3,344250701.3,328756254.5,297630876,321118428.5,486534760.1,458652163.9,419460517.6,444547702.1,431392304.7,438593113.1,633432714.1,446755104.4,469595468.2
FALSE,,,C29 H40 N5 O5 P,Full match,No results,No results,No results,-2.73,569.27515,6.725,632605898.8,0,0,,,DDA for preferred ion,562258724,329413301.5,610504555.3,361967028.7,549068808.1,632605898.8,260696731.6,434292764.5,115909.4375,1742285.229,3619298.158,1898299.523,5767001.537,2900629.935,4062311.898,2305087.455,6551450.271,2530522.428,6945862.005,3169665.744,9380286.671,79671.22364
FALSE,,,,No results,No results,No results,No results,,118.02528,1.486,626207902.2,0,0,,,DDA for preferred ion,509894883.3,426146925.7,626207902.2,384987152.4,427446045.4,560424190.7,541186331.4,402046968.4,101507.3394,124646166.2,216274774.8,98082960.19,152375803.1,175970524.8,280800789.1,163218117,189014182.1,102223574.5,112220839.6,177569331.2,223860905,718972.3791
FALSE,,D-PANTOTHENIC ACID,C9 H17 N O5,Full match,No results,Full match,Full match,-1.92,219.11025,2.364,612380724.5,2,0,,,DDA for preferred ion,331862678.3,369016759.3,449281789,336381185.3,222123469.1,329955239.4,242395495.4,404024583.9,34214.39394,310726163.5,530156173.9,382075395.4,612380724.5,442400966.1,589278931.6,391786883.8,459158855.1,439481567.3,466555401.7,478630333.7,506684133.1,36588.79423
FALSE,,(2R)-1-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-3-hydroxy-2-propanyl (11Z)-11-icosenoate,C25 H50 N O7 P,Full match,No results,No results,Not the top hit,-0.32,507.33233,7.146,569518925.5,3,0,,,DDA for preferred ion,436913377.8,335802718.9,569518925.5,468513280.7,473748249.9,542255472.5,398763800.1,472157539.2,146682.6693,30262365.53,137644026.7,40198714.97,214989806.4,91934403.76,133894047,51497272.88,159847522.8,72181734.27,43284596.91,126503707.1,78567248.81,137757.9809
FALSE,,,C19 H32 O3 S,Full match,No results,No results,No results,-0.4,340.20708,11.887,552397165.8,0,0,,,DDA for preferred ion,251673455.4,264339767.5,268978460.8,240521608.1,252275343.5,270818600.9,302841693.5,261794715.1,240404441.9,250939659.4,442482320,377908492.9,246863793,283990852.6,552397165.8,546609737.7,356085264.9,350842149.1,464784264.9,413637325.9,388362271.4,368000150.4
FALSE,,D-(-)-Glutamine,C5 H10 N2 O3,No results,Invalid mass,No results,No results,-7.45,146.06805,0.608,551721737.1,0,1,79.8,9,DDA for preferred ion,264287389.7,551721737.1,341315444.5,283359439.6,232701826.8,301497141,286970214.9,304107933.2,496221.1943,124765320.5,55999106.32,55010944.37,74877846.18,57318099.88,99500400.42,64647350.22,65150314.89,25032648.89,115735496.9,77643810.99,121747564.6,375052.7131
FALSE,,Citric acid,C6 H8 O7,Full match,Full match,Full match,Full match,-4.19,192.0262,0.699,547136937.4,16,2,99,95.9,DDA for preferred ion,327788215.8,198860672.4,197925524.7,346654188.9,310622299.4,211532325,285677195.6,348899874.8,1659382.949,280291536.7,547136937.4,254710622.7,452858723.1,291163630.9,418163880.5,255475414.6,361133366.8,261048940,400358815.6,256046033.1,487601534.6,1691118.361
FALSE,,D-(+)-Malic acid,C4 H6 O5,No results,Invalid mass,No results,No results,-9.8,134.02021,0.85,543773018.1,0,11,83.4,35.5,DDA for preferred ion,543773018.1,225886808,345525749.2,420146579.9,415014812.3,293440282.1,406455759,511330697,466638.5245,115097688.2,178038768.4,138423943.4,198617653.2,176583481.5,318334647.4,162356539.4,132674849,133356467.6,134580553.6,182401216.9,180557287.7,328264.1179
FALSE,,,C19 H32 O3 S,Full match,No results,No results,No results,-0.56,340.20703,9.883,542791000.1,0,0,,,DDA for preferred ion,378968284.2,519526994.2,412109409,338402077.9,161231488.2,493580386.1,474908076.6,338907880,370156271.9,542791000.1,184084805.8,393917326.8,351460619.6,208008634.2,169642852,249344821,311664456.7,201726486,229987059.4,171473439.1,192977801.5,192926006.1
FALSE,,,,No results,No results,No results,No results,,146.02062,0.706,536472433,0,0,,,DDA for preferred ion,329678500.2,207610892.5,202526793.4,365754574.7,305183052.3,238403993.3,286023957.4,350848888.4,1930877.72,274473819.8,536472433,251638521.2,444237646.8,287830441.9,409647285.6,251842715.3,353897839.4,257605459.3,393143203.5,258973697.7,479855778.6,1813031.793
FALSE,,UDP-N-acetylglucosamine,C17 H27 N3 O17 P2,Not the top hit,Full match,Full match,Full match,0.76,607.08203,0.654,527689432.6,8,1,99.4,97,DDA for preferred ion,110123038.9,113795277.3,116398663.6,106715100.7,110459109.1,105851882,116480952.7,135359725.8,263456.5572,413231929,414197288.1,247362516.3,527689432.6,380485394.6,505367947.9,193995822.6,349465373.3,234206824.9,290470263.8,267599286.6,264313942.1,218270.6184
FALSE,,,C27 H54 N O9 P,Full match,No results,No results,No results,-0.18,567.35352,7.148,524029986.1,0,0,,,DDA for preferred ion,401534538.9,309361820.5,524029986.1,432049263.1,435236356.7,497957337.8,366535742,434715793.3,81197.47915,28225980.93,127207158.4,36958943.79,198388515.2,84447815.27,123398540.4,47582033.77,147773431.4,66429306.96,40160222.26,117356280.7,73077303.91,71067.46285
FALSE,,L-Glutathione oxidized,C20 H32 N6 O12 S2,Not the top hit,Full match,Full match,Full match,0.18,612.15207,0.694,478543988.7,2,1,64.5,26.6,DDA for preferred ion,349761005.5,307844493.8,332501988.9,400178262.3,243784134.4,478543988.7,218718190.5,424623122.5,245655.8515,78770032.76,64826671.98,25971908.48,59405732.63,58878004.19,82331743.84,36975133.5,36812336.19,18550570.35,33462169.25,49283717.34,54368347.32,241215.5807
FALSE,,ethyl 3-[(1-benzyl-4-piperidyl)amino]-2-cyanoacrylate,C18 H23 N3 O2,No match,Full match,No results,Partial match,01.06,313.17936,7.967,467403576,1,4,80.8,9,DDA for preferred ion,673512.9232,33550189.04,40537298.35,389461295.3,383791009.8,352289153.7,467403576,204531849.8,371184405,359711216.1,295985467.7,276552703.8,278549531.4,49842967.89,295738335,54065023.01,47072047.28,56885765.33,52975105.16,65763285.54,62511081.11,55297643.26
FALSE,,,C14 H32 O3 P2,Full match,No results,No results,No results,-4.01,310.18142,7.646,453481922.1,0,0,,,No MS2,453481922.1,442151620.9,427153567.2,380044287,59614845.51,44123260.33,40253328.68,34140588.42,34094464.66,57969357.21,21859686.22,26508619.8,42219465.08,84052662.4,26894088.55,4649845.42,25949635.88,17260683.48,33459041.66,9328581.354,32023401.24,30070634.07
FALSE,,Uridine 5'-diphosphoglucuronic acid,C15 H22 N2 O18 P2,Full match,Full match,Full match,Full match,0.16,580.03438,0.99,450251121,6,5,74.2,61.4,DDA for preferred ion,10714230.24,5415588.614,3919829.66,9686475.234,10707017.4,4756286.725,2973779.781,8674245.243,50553.41183,323809573.8,264858867.2,209289902.6,234696575,282927687.7,450251121,168687576.4,212116126.7,203769571.1,297659450.5,264773957.7,260345197.5,43679.7212
FALSE,,,,No results,No results,No results,No results,,136.03594,0.648,449688693.3,0,0,,,DDA for preferred ion,228780390.5,190547642.5,449688693.3,371811148.1,229690076.2,365384777.1,234136315.8,373020894.1,59462.39266,20981367.91,44104377.11,23075712.1,39192575.95,26708355.29,35260406.76,20986764.85,33963548.4,25061725.08,38236879.84,27328470.15,31154525.82,61952.01266
FALSE,,Citric acid,C6 H8 O7,Full match,Full match,Full match,Full match,-4.02,192.02623,1.305,443012145.7,16,2,99,95.8,DDA for preferred ion,165521951.7,82195748.68,81231405.82,141519982.2,143873178.7,105809418.9,131062019.3,121349768,747693.9509,195109594.8,388806960.8,190490656.7,443012145.7,325107150.2,58740118.71,51983717.32,272981107.2,27472791.23,419836568.8,254004195.7,427105514.5,366897.3116
FALSE,,,C14 H32 O3 P2,Full match,No results,No results,No results,-3.86,310.18147,7.849,439417728.5,0,0,,,DDA for preferred ion,425908208.5,398474132.7,424261419.7,401626004.7,439417728.5,255918940,365427612.9,226782402.4,303439347,34282589.25,335428970.2,296839499.3,81615396.18,68934081.19,34844311.38,38896309.6,37193242.13,47295076.15,18886635.27,24341851.86,34609155.79,35022249.17
FALSE,,Dodecyl sulfate,C12 H26 O4 S,Full match,Full match,No results,Full match,-0.44,266.15506,6.945,435482919.3,1,20,99.5,10,DDA for preferred ion,388246909.3,435482919.3,196039582.1,315670015.3,221734901.1,269779309.9,270051805.3,187141342.5,201816536.9,183652573.8,197240895.3,197143345.4,211489526.5,211469064.9,230152126.4,219202132,217057452.5,197551635.6,175382648.1,194373764.6,222134901.4,159149657
FALSE,,,C28 H50 N2 O9 P2,Full match,No results,No results,No match,-4.79,620.29618,7.146,434400351.6,2,0,,,DDA for preferred ion,6755347.487,1738697.076,7006726.013,5337421.206,17691514.75,53279886.27,316315615.3,434400351.6,135720.9174,8106309.564,24659620.48,12184401.58,26669997.02,17090378.94,24261450.02,12800196.18,46843254.91,15327422.05,8475088.96,14628045.56,12559069.1,132096.5996
FALSE,,4-Oxoproline,C5 H7 N O3,No results,Invalid mass,No results,No results,-9.52,129.04136,0.745,430717762.3,0,1,99.2,10,DDA for preferred ion,202266095.8,340485730.2,245488657.2,251713260.3,167870217.6,261668389.5,248794889.5,224357776.8,983468.6834,135773546.4,393294446.3,262072732.8,384250865.1,286659854.6,340856737.8,316067220.4,430717762.3,378526143,386477022.3,227544020.1,412183339.8,880504.7118
