gene_id	gene_name	S6_F_DMSO_REP1	S6_F_DMSO_REP2	S6_F_DMSO_REP3	S6_F_TDO2_REP1	S6_F_TDO2_REP2	S6_F_TDO2_REP3	S6_M_DMSO_REP1	S6_M_DMSO_REP2	S6_M_DMSO_REP3	S6_M_TDO2_REP1	S6_M_TDO2_REP2	S6_M_TDO2_REP3	WT_F_DMSO_REP1	WT_F_DMSO_REP2	WT_F_DMSO_REP3	WT_F_TDO2_REP1	WT_F_TDO2_REP2	WT_F_TDO2_REP3	WT_M_DMSO_REP1	WT_M_DMSO_REP2	WT_M_DMSO_REP3	WT_M_TDO2_REP1	WT_M_TDO2_REP2	WT_M_TDO2_REP3
FBgn0000045	Act79B	718.756	690.781	877.26	712.44	740.111	480.257	605.473	487.826	651.949	894.745	1238.123	847.65	737.635	1878.036	1100.6	948.664	697.812	824.472	1763.315	1594.929	1582.066	1394.838	1532.309	1416.165
FBgn0000046	Act87E	1824.204	1520.696	2406.556	1847.833	2009.311	1636.031	378.109	455.727	513.369	2374.376	2177.997	2543.287	1450.701	2473.343	1489.241	1756.295	2120.073	1309.291	2818.098	2576.048	2188.109	2277.276	3160.107	1725.892
FBgn0000047	Act88F	179.458	219.128	290.045	210.869	256.283	162.676	193.296	171.756	240.201	244.705	349.727	290.375	208.959	303.074	273.16	310.42	180.549	204.026	480.833	599.86	313.675	282.966	201.131	202.331
FBgn0000052	Pfas	9463.865	6852.127	9894.735	7058.341	7320.067	6813.801	3097.297	13523.206	7467.09	6745.277	8304.06	10289.711	8343.991	3592.704	15924.255	12611.137	15510.599	23714.549	21937.322	14499.66	11988.729	11039.281	15268.486	7753.78
FBgn0000053	Gart	45033.447	26877.047	50165.11	33035.379	29378.523	25557.924	5344.227	16216.87	13834.782	19230.995	23156.385	28323.38	20570.735	1895.793	38934.028	41724.701	29954.936	35105.817	40089.261	21419.788	21489.194	27673.59	49200.909	15512.048
FBgn0000055	Adh	193433.986	93792.104	167360.437	139051.288	133101.982	124776.831	17291.795	15152.634	12126.499	67584.698	51691.219	79485	205330.717	97251.056	278084.913	225961.474	178070.803	361614.413	206313.18	244031.02	199743.142	222326.661	294484.033	160171.585
FBgn0000056	Adhr	0	661.956	451.564	495.712	489.945	408.542	122.205	155.665	119.526	0	0	0	747.241	503.798	763.087	736.521	708.194	887.704	810.97	634.464	542.858	764.341	65.967	569.415
FBgn0000057	adp	1030.722	952.956	1173.113	1207.875	1203.975	934	1151.353	3642.147	4151.463	1221.437	1141.334	1219.548	780.409	1359.634	1122.351	1065	670.98	1120.635	1264.93	1370.879	1305.817	1245.374	1316.699	1037.282
FBgn0000061	al	20	19	30.673	17	31.219	13	17.749	25.968	15.036	27	56.215	18.556	18.368	24.418	18.068	28.974	19.034	14.999	26.008	27	28.331	22.001	48	15
FBgn0000063	Mps1	103.251	111.327	136.243	121.339	127.029	121.98	33	64.369	61.958	114.763	229.228	153	58.413	137.963	65.499	59.074	79.579	62.52	157.151	165.432	147.876	126.116	122	118
FBgn0000064	Ald1	42247.314	28708.283	47262.177	34537.853	39394.363	29302.291	5813.278	8229.165	7752.942	35535.906	30759.461	34440.12	32000.89	42120.993	40901.88	36714.098	22441.899	40701.835	40144.074	40079.41	39352.507	45705.638	63420.703	37483.432
FBgn0000071	Ama	19.395	28.148	23	24	19.004	20.772	24.999	66.184	37.281	77.936	118.42	35	19.865	172.001	44.378	29.054	46	20.001	69.43	51.357	66	120.785	102.063	45.998
FBgn0000075	amd	111.112	126.018	158.018	65	155.048	98	35.265	31.432	22.164	142	138.118	171.959	103.56	168.007	146.996	140.95	119.647	74.033	362.193	264.035	216.998	291.935	129.206	178.163
FBgn0000077	amx	332	305.873	339.429	415.258	381	283.188	71.397	116	117	340.767	390	314.297	296.397	497.279	430	301.045	271.166	347	358.002	397.906	412.1	335.906	284.08	297
FBgn0000078	Amy-d	6857.724	4642.811	4344.26	10988.383	3206.259	5841.926	3345.86	11045.55	8326.958	5917.201	4716.808	15272.423	5781.912	301.408	12152.743	16374.96	9189.766	12947.206	8636.779	13464.7	13225.12	7252.738	40383.518	6217.375
FBgn0000079	Amy-p	12379.185	8231.33	7334.35	13289.539	7548.741	8167.102	4190.936	19649.487	13926.38	13145.349	7323.192	22239.772	3903.103	314.592	8717.88	11327.04	5706.233	8260.748	6113.536	9147.131	8775.083	4490.309	19579.389	4129.08
FBgn0000083	AnxB9	6463.728	10648.811	12999.746	8363.536	9073.768	5599.984	2923.781	4577.684	3291.486	9649.598	9539.365	8610.876	4756.063	9063.088	5060.09	5040.996	3858.208	4925.295	6919.343	7090.026	5972.477	6706.509	9325.254	5585.337
FBgn0000084	AnxB10	3212.294	3474	4324.233	3728.94	3577.849	2385.983	639.658	1017.907	914.975	3389.393	3433.405	2880.846	2456.311	4876.753	2959	2675	2275	2561	3126.287	2852.836	2887.978	3031.378	2909.263	2220
FBgn0000092	dyw	8.017	14.002	15	26.082	14.005	18.176	14	20.145	9	15.137	34.999	18.005	11.233	27.499	22.004	12	22.16	9.484	25.013	19.102	20.474	27.011	28	9.268
FBgn0000094	Anp	1	3	0	2	0	0	0	0	1	1	2	1	1	0	3	3	10.688	1	3.006	2	3	2	1.057	2
FBgn0000097	aop	2729.383	2245.511	3055.631	3346.551	2989.197	2384.572	648.718	1045.359	954.909	3121.088	2956.347	2887.805	2318.958	3746.671	2874.392	2789.14	2126.653	2552.188	3568.636	3570.678	3543.873	3125.057	3624.193	3033.224
FBgn0000100	RpLP0	38172.998	29321.398	39962.024	39844	38241.417	30108.006	5428.878	8923.84	9086.488	24161.707	23437.477	25550.017	47295.261	29917.107	52131.006	47595.492	29085.052	45998.893	34891.242	32456.172	29855.197	26695.114	28700.012	24772.985
FBgn0000108	Appl	21700.447	23727.636	34641.94	29351.09	30582.139	23028.326	5537.408	8765.109	10725.615	35796.843	42711.066	35699.119	10050.569	28271.614	12553.869	16274.221	10372.12	14383.808	20433.452	26213.931	27217.25	15658.998	25830.075	22537.863
FBgn0000109	Aprt	262	194.363	229.001	343	242	194.01	28.619	56.508	58.241	208	174.888	171	332	322.476	485	448	314	622	333.892	433	374.915	367	275	218.346
FBgn0000114	bru1	3349.767	2447.034	3655.531	3795.062	3390.593	2966.279	528.867	935.196	816.985	2713.912	2866.202	2960.047	1702.238	2954.003	2546.747	2411.35	2244.434	2592.856	3128.075	3173.44	3146.274	2518.184	3173.997	2341.901
FBgn0000115	Arl1	626	511.953	560.08	627.977	627	438	90	125	124	461.879	494.585	482	396.817	611	655	475.001	365	626	546.275	826.843	598.021	474.999	416	357
FBgn0000116	Argk1	26681.038	26339.871	34328.945	29524.286	31209.103	22243.801	7362.185	9983.438	11304.971	33565.725	34527.548	30147.498	22019.601	53379.621	26983.179	25916.343	12598.446	23518.249	35611.308	31985.991	33407.909	33054.505	49465.718	30402.704
FBgn0000117	arm	8393.193	7672.536	10607.83	10246.557	9572.801	7437.636	2283.996	3659.307	3324.001	10945.243	11284.84	9489.997	6911.409	15308.834	8911.951	8064.645	6700.666	7812.045	11300.983	10780.894	10881.058	10182.018	12262.695	8972.979
FBgn0000119	arr	2616.092	2200.431	3114.952	3152.1	3033.868	2379.799	652.76	1464.034	1312.427	2784.923	3075.038	2911.67	2508.154	3762.51	2821.909	2572.472	2114.129	2383.207	3685.148	3511.754	3094.158	3123.399	3270.331	2718.845
FBgn0000120	Arr1	152714.962	130575	183372	196050.831	195534.092	148137	37683.977	43635.929	59697.712	240088.98	253413.86	225053.997	104933.002	269394.983	114153.003	96430.997	82274.065	104466	184247.294	169387.364	160375.087	155469.244	185666.783	162056
FBgn0000121	Arr2	212322.993	165059.979	231318.941	282392.999	272525.96	246243.082	50022.445	63274.946	94577.941	326386.124	338971.616	315191.917	126893.997	321155.448	139020	108384.565	103419.994	114741	230458.803	206043.953	202054.987	176713	189801	172085.852
FBgn0000137	ase	6.095	13.183	19.442	16.682	18.188	18.922	8	15.658	10.001	11.015	34.002	15.138	14.064	24	9	9.914	15.046	13.996	25.829	25.673	12.115	16.962	12.022	23.999
FBgn0000139	ash2	632.19	671.264	817.481	939.849	769.236	574.43	274	371.038	365	909.884	972.433	738.261	889.149	1109.019	1125.902	858.164	899	764.892	1016.216	980.918	1109	959.007	875.808	807.277
FBgn0000140	asp	32.485	63.685	65.548	103.063	101.2	97.197	71.945	73.754	36.153	75.413	122.901	70.986	51.539	59.887	64.144	117.667	16948.793	91.503	95.955	100.638	60.947	60.758	46.58	50.595
FBgn0000146	aub	27	45	36.413	33.017	55.737	22	10.002	24.288	15	23.041	47.143	33.225	47.576	86.193	52.968	48.893	47.197	43	83.134	71.71	67.951	71.011	81.395	55.291
FBgn0000147	aurA	54.002	78	80.054	60.005	67	66.004	27.066	78	22	74.466	129.588	76.831	58.006	148.402	87.605	69.267	88.863	68.141	149.064	172.571	134.745	123.003	130.001	116
FBgn0000150	awd	13554.808	8097	12635.627	13285.999	12762.585	9708	2005.001	2295.634	2403	9212.539	8353.523	9306	11951	7597	13932.026	12532	7693.905	13170.837	8928.991	9396.003	7722	8555	12233.009	7316.027
FBgn0000152	Axs	244.277	271.594	354.051	339.88	297.365	187.231	78.746	146.961	165.576	336.044	361.427	302.547	309.505	494.173	307.8	316.936	211.684	239.335	368.621	359.029	274.966	293.561	356.527	265.975
FBgn0000153	b	1399.054	1357	1719.901	1840.409	1836.057	1016	476	410.982	498.203	2204.076	1747.767	1560.375	1642	3834	1574.959	1680.191	1162	1105.821	2408.956	2623.052	2263	2605.001	1866.042	1362
FBgn0000157	Dll	571.806	470.048	698.833	625.502	636.667	415.349	143.013	217.229	229.556	972.682	901.713	735.952	367.167	1145.556	503.761	488.069	336.535	434.717	829.061	1073.416	912.063	920.534	890.3	704.358
FBgn0000158	bam	24.128	12.882	10.77	16.018	14.016	18.251	16.043	17.99	12.789	11.069	21.47	12.7	10.145	17.748	24.012	17.366	13.279	8.759	34.669	28.385	8.14	24.081	15.045	7.203
FBgn0000163	baz	4178.697	4056.961	5268.637	5306.149	5643.418	5434.442	1342.049	2811.862	2298.254	5874.137	6586.441	5378.799	3600.436	11487.987	5237.616	4910.921	3943.314	4190.651	7171.903	6312.338	6279.014	6676.566	6674.063	5876.783
FBgn0000166	bcd	3.294	10.771	7.007	8.194	15.721	11.291	7.283	13.141	2.458	13.819	28.888	9.97	3.317	21.399	12.366	14.417	6.094	9.362	8.857	10.734	13.61	18.528	9.11	3.416
FBgn0000173	ben	2778	2471.464	3176.19	3271.955	3335.012	2280.079	379.965	595.383	688	2949.192	2787.763	2951.27	1811.001	3424.001	1634.043	2284	1075	2317.001	2169.933	2909.765	2748.049	1922.001	2249.044	2142.262
FBgn0000179	bi	1053.14	1003.749	1528.034	1377.342	1411.143	1039.934	312.027	392.613	366.57	1499.124	1657.339	1321.057	731.556	2125.63	906.19	1120.866	712.939	918.33	1472.274	1711.048	1711.584	1287.868	1607.128	1447.507
FBgn0000180	bib	248.597	270.48	312.498	306.778	352.412	299.226	71.136	264.311	220.277	335.42	446.895	288.667	116.833	421.381	244.272	175.118	204.635	189.2	426.135	342.584	413.62	369.762	447.511	313.094
FBgn0000181	bic	9967.805	7999.009	10790	11682.943	10456.869	8538.63	1922.975	2864.98	2697	11115.542	6702.182	8347.899	10269.984	9007.874	11956.821	10984.846	7907.357	11885.965	11196.937	9709.977	9518.69	9357.315	10610	7570.661
FBgn0000182	BicC	12.213	37.066	26.957	11.786	35.004	37.572	13.756	0	0	12.23	77.287	11.623	27.065	59.134	49.269	26.544	596.471	30.036	42.53	60.629	8.497	43.071	19.985	14
FBgn0000183	BicD	3281.987	3288.924	4364.624	4211.939	4184.603	3268.003	870.945	1489.767	1377.575	5153.67	5537.459	5042.186	2721.902	7564.581	3626.922	3385.486	2669.653	3136.461	5902.997	5958.763	5802.112	4863.08	3965.818	4663.683
FBgn0000206	boss	5671.417	4904.067	7262.718	8617.453	8812.223	6754.085	1789.932	2236.061	2966.069	10126.023	9720.089	8707.721	3965.399	10095.458	4802.541	4224.004	3779.022	4228.337	7227.126	7134.438	6449.015	6518.155	7449.954	6593.022
FBgn0000212	brm	3251.606	2958.181	3809.091	3721.54	3690.453	2803.332	760.344	1318.82	1220.36	4161	4393.469	4011.721	2362.716	5172.93	3141.807	2777.183	2185.797	2830.857	4680.176	4697.499	4630.144	3631.911	3821.666	3530
FBgn0000216	Brd	7.41	11	11	2.994	3	8	4	5	4.999	8	10	4	3	3	7.967	7	9	5.002	13.046	8.027	8	11.999	8	6
FBgn0000221	brn	290.216	618.937	438.788	336.477	534.609	820.937	95.476	318.682	167.605	465.933	998.238	454.775	269.016	676.997	567.452	500.531	230.176	317.75	435.864	513.116	420.294	499.776	378.041	268.079
FBgn0000227	Elba1	4.027	5.09	5.012	6	11	3.003	8.192	13.754	7	6.961	17.945	5	11	12.702	9.019	10	8.03	3.004	10.159	17.204	11.001	10.311	6	4
FBgn0000228	Nin	3683.023	3533.992	4638.913	4628.228	4456.04	3175.489	802.296	1399.16	1383.534	4678.358	5109.392	4465.771	3218.817	5577.774	3659.471	3445.298	2518.857	3143.909	4825.852	4615.379	4825.674	4160.263	3942.61	3666.316
FBgn0000229	bsk	1718.165	2029.376	2402.346	2250.698	2209.993	1738.928	446.811	756.898	670.956	2830.207	2729.69	2592.059	1440.878	3628.511	1998.454	1614.894	1332.59	1686.083	2580.838	2508.332	2704.38	2452.699	1765.326	2177.955
FBgn0000233	btd	99.95	213.789	155.355	384.922	2228.158	6750.994	63.316	280.547	55.745	1145.832	3664.174	1549.327	675.449	3504.675	3128.89	2399.832	840.237	625.696	1443.669	2245.588	1115.569	2264.524	466.856	102.951
FBgn0000239	bur	4322.978	3487.4	4533.102	4671.537	4638.144	3706.925	689.612	1226.377	1100.331	3500.288	3321.402	3810.346	4253.464	3721.275	5235.704	4457.383	3363.378	5000.59	4739.169	5005.404	4685.389	4208.228	3942.699	3712.6
FBgn0000241	bw	2119.087	1862.857	2723.791	2377.03	2335.363	1795.188	1027.501	1890.736	1998.853	2596.115	2712.126	2289.986	1943.647	5069.084	2504.716	2232.602	1092.867	2359.021	2634.501	2328.039	2220.555	2109.93	2361.928	1897.231
FBgn0000244	by	4116.849	3381.746	4484.021	4584	4505.183	2796.213	852.705	1446.73	1477.577	4043.071	3889.601	4009.48	3271.002	5105.5	3794.288	3573	2727.103	2943.572	4892.522	3949.796	4236.686	4161.187	4885.988	3390.579
FBgn0000246	c(3)G	173.737	123.843	153.216	146.796	192.053	145.364	50.023	64.643	74.48	230.104	241.662	211.131	114.649	259.371	138.709	122.378	98.11	139.047	292.006	298.661	307.461	216.025	91.013	171.148
FBgn0000247	ca	3697.438	3589.786	5074.247	4668.367	4327.546	3394.851	1216.212	1969.164	1992.644	4620.308	5168.455	4461.028	2896.195	5165.342	3858.487	3549.847	5094.902	3485.32	4775.27	4583.803	5019.164	4387.798	5899.82	4036.209
FBgn0000250	cact	3971.89	3482.144	5241	5043.001	4974.999	3795.764	907.851	2081.059	1571.997	5213.764	4926.941	4866.356	4799.999	7196.999	5013.133	5491	3490.446	4586.219	6021.799	5341.49	4873.85	5913.944	6409.26	5168.19
FBgn0000251	cad	30.052	112.126	53.968	20	37.002	76.095	11.022	68.826	19.729	20.029	57.752	21.001	19.313	45.894	36.76	39.35	26.108	19.027	31.03	50.911	41.148	30.042	16.675	18.108
FBgn0000253	Cam	55538.241	40923.087	60349.915	63697.137	68687.11	50899.551	8846.344	14929.541	19031.99	97818.864	88620.287	82513.831	29945.197	67036.614	30412.227	44733.083	22551.583	43505.143	51578.188	82616.896	80798.58	44718.814	49085.642	63598.92
FBgn0000256	capu	2690.642	2287.458	3613.322	2948.312	2839.802	2377.645	774.944	1059.883	964.62	2969.714	3245.362	2796.6	2009.151	3544.205	2560.407	2262.558	2212.101	2092.345	3337.773	3017.34	3339.872	2786.145	4008.687	2617.782
FBgn0000257	car	782.493	721.941	1000.151	1000.954	877.781	728.163	274.799	456.827	417.878	1108.472	1171.288	1115.678	673.441	1507.02	884.014	768.377	672.818	766.194	1232.322	1263.178	1201.694	1108.079	1292.102	984.009
FBgn0000259	CkIIbeta	3014.995	2545.693	3480.056	3539.971	3508.006	2723.054	512.068	870.36	844.844	3687.833	3444.444	3318.726	2173.985	4294.124	2644.255	2792.274	1733.265	2714.591	3239.051	3900.215	3994.467	2715.898	2835.607	3014.942
FBgn0000261	Cat	7068.979	5159	7139.391	7372.638	6909	4030.98	1145	1573.023	1466	5284.983	5140.456	4915.971	8243.711	8806.972	9305.364	8209.203	3477.877	7830.723	5293.494	5131.588	5430.405	7740.027	8876.105	4671.225
FBgn0000273	Pka-C1	12627.098	10185.259	15361.434	14040.587	14055.954	9899.433	2503.405	3889.063	4431.958	17776.005	17815.08	17304.901	7569.211	16310.872	8854.057	12681.227	7287.2	10997.507	15319.398	18196.182	18369.533	11910.159	15530.304	14417.035
FBgn0000274	Pka-C2	3	6.073	2.002	4.997	6.543	13.974	9.017	14	7	5.015	11.022	18	5.97	13	9.893	4.024	15.501	2.01	13.322	12.272	16.357	8	11	5.117
FBgn0000276	CecA1	347	40.773	13.315	86.661	31	16	55.006	539	13.898	51	85.712	564	17	10.549	1998	8694.181	92.386	95	9	701	82	20.322	143.446	25.008
FBgn0000277	CecA2	157.489	13.316	32.683	48.339	33	19	10	176	2.102	25	60.279	138.001	42	9.451	3227.991	7820.816	158.614	168	25	3115.035	221	45.678	194.554	50.992
FBgn0000278	CecB	113	5	2	15	5	5	7311.544	5435.726	3937.816	78	30.34	94	13.037	9	141	759	27	21	8.001	50.919	78	86	54	90
FBgn0000279	CecC	292	14	16	38	32.427	25.454	62	202.596	5.036	26	66	210.649	20	20.068	882	4680	58	55	12.241	452.666	74	25.535	73.977	36.841
FBgn0000280	Cec-Psi1	0	3	1	1	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	2	1	0	1.004
FBgn0000281	Cec2	1	6.042	1.011	2	0	2	0	0	0	0	2	2	1	1	2	6	4	2	0.998	0	0	1	0	2
FBgn0000283	Cp190	4955.166	10481.582	6815.975	4677.42	4934.808	5398.798	1500.791	6060.978	1971.108	4914.225	5694.321	4612.54	2719.243	5849.332	3726.902	3584.137	3335.87	3364.577	5280.043	5430.322	5207.726	4445.849	3216.79	3804.566
FBgn0000286	Cf2	3411.101	2570.171	4073.508	3667.432	3727.349	2921.589	685.64	1086.276	1121.951	4018.57	4185.592	3913.495	2142.488	3967.006	2587.953	2703.931	6100.443	2458.933	3718.93	4210.452	4304.13	3224.058	4112.973	3536.871
FBgn0000287	salr	1176.631	1159.471	1476.133	1372.163	1481.251	992.349	504.108	662.637	645.307	1701.516	1865.452	1674.567	1311.317	3491.354	1467.235	1369.56	1205.152	1227.776	3065.234	2585.882	2430.42	2205.172	2956.168	2096.994
FBgn0000289	cg	5005.209	4472.945	6220.597	5959.091	5645.744	4655.727	1221.096	1865.025	1961.174	6891.257	7025.513	6267.273	3681.026	9410.762	5230.39	4790.839	4450.024	4861.944	7725.17	8398.907	8440.839	6684.763	8019.663	6716.596
FBgn0000299	Col4a1	3737.111	2903.962	2743.415	4446.296	2907.466	1557.822	623.767	932.975	955.464	2430.697	2757.074	1946.715	3860.309	30583.583	4908.464	4158.929	4435.869	5228.97	3284.289	2876.678	2333.246	2682.299	2508.676	2340.114
FBgn0000303	ChAT	1357.34	1411.925	1811.687	1870.016	1603.387	1260.418	380.316	665.98	599.763	2530.912	2906.928	2437.3	1272.189	3660.622	1658.468	1480.881	1037.591	1493.57	3102.508	2855.122	3300.214	2599.705	3018.269	2578.454
FBgn0000307	chif	3492.808	3250.982	4516.001	4447.293	4465.509	3511.821	905.451	1692.243	1744.402	5184.091	9322.788	4684.756	2966.123	9041.71	3666.729	3920.865	2974.998	3076.536	5470.953	5398.821	5544.39	4854.609	3716.032	4481.064
FBgn0000308	chic	7378.01	7967.782	9914.995	8626.006	8002.992	6023.009	1598	2476.977	2265.001	9939.001	9635.541	8829.715	4265.04	10076.848	4910.735	5349.001	3767.078	4983.981	7283.956	7548.77	7356.995	6767.515	6503.969	6364.107
FBgn0000316	cin	823.996	690	985.145	855.999	921.852	754	132.745	197.748	250.132	741.609	685.224	716.965	543.446	1228.971	956.488	866.433	1437.927	798.8	786.692	970.508	915.996	767.952	686.341	632.988
FBgn0000317	ck	2787.992	2079.985	2873.943	2716.033	2991.508	2550.089	585.967	1064.652	1000.888	3138.27	2758.099	3031.058	1925.424	5677.741	2588.621	2376.201	1791.737	2414.557	3190.245	3261.667	3117.048	3185.121	3048.085	2856.122
FBgn0000318	cl	1083.887	1105.35	1367.542	1353.97	1124.706	837.985	273.999	448.844	375.965	1304.865	1280.746	1334.96	1076.986	2313.62	1355.841	1183.821	910.429	1233.986	1622.847	1519.446	1591.951	1610.404	1354.598	1126.91
FBgn0000319	Chc	18751.799	18818.664	25395.284	24253.986	22942.983	17283.652	4202.703	6363.595	6019.526	21038.87	19989.58	18641.879	18259.204	26811.678	20890.928	18746.511	13942.737	19270	19113.639	19134.147	18554.113	17819.742	20290.004	15828.428
FBgn0000320	eya	1757.91	1711.544	2283.879	2111	2042.968	1694.713	509.743	826.22	712.605	2435.998	2512.489	2393.438	1305.366	3919.321	1654.999	1536.313	1107.675	1389.779	2370.888	2339.152	2272.894	1971.754	2502.774	2009.016
FBgn0000326	clt	480	477.653	495.852	609	510.77	434.613	208.386	185.974	218.125	508.995	413.067	500.183	461.107	631.069	710.71	528.057	296.583	649	531.495	609.428	547.175	480.413	413.522	467.815
FBgn0000330	cm	661.064	670	811.003	792	857.22	626	164.811	217	286.996	781	785.149	738.444	488	941	742.099	603.093	560.617	606	772.988	792.007	736.191	650.003	813.691	596.488
FBgn0000337	cn	9.273	10.502	7.031	10.087	12.271	7.76	4.944	2.379	0	18.744	22.949	9.453	20.482	24.659	18.838	13.76	5.978	11.304	20.9	14.278	17.401	13.762	11.869	8.281
FBgn0000339	cni	836	845.995	1027.076	1064.998	1052	839	210	335	286.704	1141.983	1002.979	1042.002	909.824	1792.999	1196.999	932	782.999	985	1305.051	1358.998	1242.999	1295	1010.005	1124.429
FBgn0000346	comt	4248.434	4127.506	5910.86	5692.951	5757.107	4611.794	1273.445	1822.003	1962.8	8054.37	8527.582	7089.626	3681.539	10512.443	4813.154	4412.659	3308.848	4108.791	7876.818	7484.784	8021.772	6819.253	6464.777	6558.151
FBgn0000351	cort	44.135	42.879	67	59.434	57.013	51.11	29	30	16	49	171.313	82.957	34.071	38.989	41.013	42.476	38.035	43.282	49.597	67.158	75.003	51.901	51.006	43.089
FBgn0000352	cos	1309.275	1284.866	1560.918	1657.153	1559.197	1349.832	380.906	682.3	578.874	1969.717	2018.574	1878.969	949.701	2314.027	1276.022	1148.081	932.896	1119.001	2082.841	1829.33	1922.255	1590.618	1642.454	1550.443
FBgn0000355	Cp15	1	1.013	3	6.092	4.318	8.838	0.961	4.006	1	4	21.271	3.462	31.403	12.815	16.733	12.489	2.178	7.339	4.861	6.764	7.524	5.78	1	6.984
